2025-01-10T00:02:12.083+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] .m.MongodbAssignmentEvaluatorApplication : Starting MongodbAssignmentEvaluatorApplication using Java 21.0.5 with PID 19888 (C:\Users\Denis\Desktop\3year2024-25\bakalarka\mongodb_assignment_evaluator\target\classes started by Denis in C:\Users\Denis\Desktop\3year2024-25\bakalarka\mongodb_assignment_evaluator)
2025-01-10T00:02:12.086+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] .m.MongodbAssignmentEvaluatorApplication : No active profile set, falling back to 1 default profile: "default"
2025-01-10T00:02:13.310+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2025-01-10T00:02:13.314+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-01-10T00:02:13.580+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 254 ms. Found 5 JPA repository interfaces.
2025-01-10T00:02:15.494+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] o.h.c.internal.RegionFactoryInitiator    : HHH000026: Second-level cache disabled
2025-01-10T00:02:16.046+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
2025-01-10T00:02:16.815+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] org.hibernate.mapping.RootClass          : HHH000038: Composite-id class does not override equals(): cz.cvut.fel.mongodb_assignment_evaluator.application.model.entity.CriterionFulfillmentId
2025-01-10T00:02:16.815+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] org.hibernate.mapping.RootClass          : HHH000039: Composite-id class does not override hashCode(): cz.cvut.fel.mongodb_assignment_evaluator.application.model.entity.CriterionFulfillmentId
2025-01-10T00:02:17.893+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-01-10T00:02:18.033+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-01-10T00:02:18.128+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-01-10T00:02:19.275+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8080 (http) with context path '/'
2025-01-10T00:02:19.285+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] .m.MongodbAssignmentEvaluatorApplication : Started MongodbAssignmentEvaluatorApplication in 8.001 seconds (process running for 9.192)
2025-01-10T00:02:19.290+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.config.EvaluationRunner          : Starting evaluation for directory: /Users/Denis/Desktop/3year2024-25/bakalarka/mongodb_assignment_evaluator/scripts
2025-01-10T00:02:19.307+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of afanaole
2025-01-10T00:02:19.428+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of afanaole
2025-01-10T00:02:19.474+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Script of afanaole has been evaluated
2025-01-10T00:02:19.479+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully generated output for afanaole
2025-01-10T00:02:19.481+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of allaebek
2025-01-10T00:02:19.522+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of allaebek
2025-01-10T00:02:19.524+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orders' doesn't exist. Query='db.orders.insertOne({ id: 10248, customerId: "ALFKI", employeeId: 5, orderDate: ISODate("2023-01-01")});'
2025-01-10T00:02:19.524+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orders' doesn't exist. Query='db.orders.insertOne({ id: 10249, customerId: "ANATR", employeeId: 6, orderDate: ISODate("2023-01-02")});'
2025-01-10T00:02:19.525+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orders' doesn't exist. Query='db.orders.insertOne({ id: 10250, customerId: "ANTON", employeeId: 4, orderDate: ISODate("2023-01-03")});'
2025-01-10T00:02:19.525+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orders' doesn't exist. Query='db.orders.insertOne({ id: 10251, customerId: "AROUT", employeeId: 3, orderDate: ISODate("2023-01-04")});'
2025-01-10T00:02:19.525+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orders' doesn't exist. Query='db.orders.insertOne({ id: 10252, customerId: "BERGS", employeeId: 1, orderDate: ISODate("2023-01-05")});'
2025-01-10T00:02:19.525+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orders' doesn't exist. Query='db.orders.insertMany([{ id: 10253, customerId: "BLAUS", employeeId: 2, orderDate: ISODate("2023-01-06") }{ id: 10254, customerId: "BLONP", employeeId: 9, orderDate: ISODate("2023-01-07") }{ id: 10255, customerId: "BOLID", employeeId: 7, orderDate: ISODate("2023-01-08") }{ id: 10256, customerId: "BONAP", employeeId: 8, orderDate: ISODate("2023-01-09") }{ id: 10257, customerId: "BOTTM", employeeId: 10, orderDate: ISODate("2023-01-10") }]);'
2025-01-10T00:02:19.526+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.insertOne({ orderId: 10248, productId: 1, unitPrice: 14.00, quantity: 12, discount: 0 });'
2025-01-10T00:02:19.526+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.insertOne({ orderId: 10248, productId: 2, unitPrice: 9.80, quantity: 10, discount: 0 });'
2025-01-10T00:02:19.526+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.insertOne({ orderId: 10248, productId: 3, unitPrice: 34.80, quantity: 5, discount: 0 });'
2025-01-10T00:02:19.526+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.insertOne({ orderId: 10249, productId: 4, unitPrice: 18.60, quantity: 9, discount: 0 });'
2025-01-10T00:02:19.526+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.insertOne({ orderId: 10249, productId: 5, unitPrice: 42.40, quantity: 40, discount: 0 });'
2025-01-10T00:02:19.526+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.insertMany([{ orderId: 10250, productId: 7, unitPrice: 42.40, quantity: 35, discount: 0 }{ orderId: 10250, productId: 8, unitPrice: 21.05, quantity: 15, discount: 0 }{ orderId: 10250, productId: 9, unitPrice: 21.00, quantity: 6, discount: 0 }{ orderId: 10251, productId: 10, unitPrice: 24.00, quantity: 20, discount: 0 }{ orderId: 10251, productId: 11, unitPrice: 10.00, quantity: 30, discount: 0 }{ orderId: 10252, productId: 12, unitPrice: 18.60, quantity: 35, discount: 0 }{ orderId: 10252, productId: 13, unitPrice: 42.40, quantity: 25, discount: 0 }{ orderId: 10252, productId: 14, unitPrice: 18.00, quantity: 50, discount: 0 }{ orderId: 10253, productId: 15, unitPrice: 9.65, quantity: 10, discount: 0 }{ orderId: 10253, productId: 1, unitPrice: 42.40, quantity: 3, discount: 0 }{ orderId: 10254, productId: 3, unitPrice: 21.00, quantity: 48, discount: 0 }{ orderId: 10254, productId: 4, unitPrice: 19.50, quantity: 15, discount: 0 }{ orderId: 10255, productId: 6, unitPrice: 14.00, quantity: 24, discount: 0 }{ orderId: 10255, productId: 7, unitPrice: 17.45, quantity: 10, discount: 0 }{ orderId: 10256, productId: 9, unitPrice: 12.50, quantity: 20, discount: 0 }]);'
2025-01-10T00:02:19.527+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orders' doesn't exist. Query='db.orders.replaceOne({id:10248},{id:10248, customerId:"BONAP", employeId:10, orderDate: ISODate("2023-01-01")});'
2025-01-10T00:02:19.527+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orders' doesn't exist. Query='db.orders.updateOne({id:10248},{$set:{customerId: "Hello"}});'
2025-01-10T00:02:19.527+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.updateMany({discount:0},{$mul:{unitPrice:1.1}});'
2025-01-10T00:02:19.527+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orders' doesn't exist. Query='db.orders.updateMany({},{$set:{status:"pending"}});'
2025-01-10T00:02:19.527+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orders' doesn't exist. Query='db.orders.updateOne({id:10248},{$set: {"address.city":"prageu", "address.country":"Czech Republic", "address.post":"100"}});'
2025-01-10T00:02:19.528+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orders' doesn't exist. Query='db.orders.updateOne({id:10248},{$set:{"address.city":"Brno"}});'
2025-01-10T00:02:19.528+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.updateOne({ orderId: 10248 },{ $push: { products: { productId: 1, unitPrice: 99 } }});'
2025-01-10T00:02:19.528+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.updateOne({orderId: 10248, "products.productId":1},{$set:{"products.$.unitPrice": 50}});'
2025-01-10T00:02:19.528+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.updateOne({ orderId: 10248 },{ $pull: { products: { productId: 1 } } });'
2025-01-10T00:02:19.528+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orders' doesn't exist. Query='db.orders.updateOne({ id: 2000 },{ $set: { status: "pending" } },{ upsert: true });'
2025-01-10T00:02:19.528+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orders' doesn't exist. Query='db.orders.find({$or:[{customerId:"ALFKI"}, {customerId:"ANATR"}]}).forEach(printjson);'
2025-01-10T00:02:19.528+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.insertMany([{ orderId: 10248, products: [ { productId: 1, quantity: 15, unitPrice: 10.00 }, { productId: 2, quantity: 25, unitPrice: 20.00 } ] }{ orderId: 10249, products: [ { productId: 3, quantity: 30, unitPrice: 30.00 }, { productId: 4, quantity: 5, unitPrice: 40.00 } ] }{ orderId: 10250, products: [ { productId: 5, quantity: 12, unitPrice: 50.00 }, { productId: 6, quantity: 40, unitPrice: 60.00 } ] }]);'
2025-01-10T00:02:19.529+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.find({ products: { $elemMatch: { quantity: { $gt: 20 } } } },{ orderId: 1, products: 1, _id: 0 }).forEach(printjson);'
2025-01-10T00:02:19.529+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orders' doesn't exist. Query='db.orders.find({}).sort({ orderDate: -1 }).forEach(printjson);'
2025-01-10T00:02:19.529+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orders' doesn't exist. Query='db.orders.find({}).sort({ employeeId: 1, orderDate: -1 }).forEach(printjson);'
2025-01-10T00:02:19.529+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.find({ productId: 5 }).forEach(printjson);'
2025-01-10T00:02:19.529+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.find({ quantity: { $gt: 20 } }).forEach(printjson);'
2025-01-10T00:02:19.529+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orders' doesn't exist. Query='db.orders.find({ orderDate: { $gte: ISODate("2023-01-01"), $lte: ISODate("2023-01-31") }}).forEach(printjson);'
2025-01-10T00:02:19.529+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.find({ products: [ { productId: 1, quantity: 15, unitPrice: 10.00 }, { productId: 2, quantity: 25, unitPrice: 20.00 } ]}).forEach(printjson);'
2025-01-10T00:02:19.530+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.find({ "products.productId": 6}).forEach(printjson);'
2025-01-10T00:02:19.530+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orders' doesn't exist. Query='db.orders.aggregate([{ $lookup: { from: "orderDetails", localField: "id", foreignField: "orderId", as: "orderDetails" } }]).forEach(printjson);'
2025-01-10T00:02:19.530+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.aggregate([{ $match: { quantity: { $gt: 10 } } }{ $group: { _id: "$orderId", totalQuantity: { $sum: "$quantity" } } }]).forEach(printjson);'
2025-01-10T00:02:19.530+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.aggregate([{ $project: { orderId: 1, productId: 1, unitPrice: 1, quantity: 1, totalPrice: { $multiply: ["$unitPrice", "$quantity"] } } }]).forEach(printjson);'
2025-01-10T00:02:19.530+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.aggregate([{ $group: { _id: "$orderId", totalPrice: { $sum: { $multiply: ["$unitPrice", "$quantity"] } } } }{ $sort: { totalPrice: -1 } }{ $limit: 3 }]).forEach(printjson);'
2025-01-10T00:02:19.530+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.aggregate([{ $skip: 5 }{ $count: "remainingProducts" }]).forEach(printjson);'
2025-01-10T00:02:19.531+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.aggregate([{ $group: { _id: "$orderId", minPrice: { $min: "$unitPrice" }, maxPrice: { $max: "$unitPrice" } } }]).forEach(printjson);'
2025-01-10T00:02:19.531+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.aggregate([{ $group: { _id: "$orderId", /* Group by orderId*/ totalSum: { $sum: { $multiply: ["$unitPrice", "$quantity"] } /* Calculate total sum for each order*/ } } }{ $sort: { totalSum: -1 } /* Sort by totalSum in descending order*/ }{ $group: { _id: null, /* Group all documents into one group*/ mostExpensiveOrder: { $first: "$$ROOT" } /* Use $first to get the document with the highest totalSum*/ } }]).forEach(printjson);'
2025-01-10T00:02:19.531+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.aggregate([{ $match: { quantity: { $gt: 10 } } }{ $group: { _id: "$orderId", totalQuantity: { $sum: "$quantity" } } }]).forEach(printjson);'
2025-01-10T00:02:19.531+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.aggregate([{ $project: { orderId: 1, productId: 1, unitPrice: 1, quantity: 1, totalPrice: { $multiply: ["$unitPrice", "$quantity"] } } }]).forEach(printjson);'
2025-01-10T00:02:19.531+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.aggregate([{ $group: { _id: "$orderId", totalPrice: { $sum: { $multiply: ["$unitPrice", "$quantity"] } } } }{ $sort: { totalPrice: -1 } }{ $limit: 3 }]).forEach(printjson);'
2025-01-10T00:02:19.531+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.aggregate([{ $skip: 5 }{ $count: "remainingProducts" }]).forEach(printjson);'
2025-01-10T00:02:19.531+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.aggregate([{ $group: { _id: "$orderId", minPrice: { $min: "$unitPrice" }, maxPrice: { $max: "$unitPrice" } } }]).forEach(printjson);'
2025-01-10T00:02:19.531+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'orderDetails' doesn't exist. Query='db.orderDetails.aggregate([{ $group: { _id: "$orderId", /* Group by orderId*/ totalSum: { $sum: { $multiply: ["$unitPrice", "$quantity"] } /* Calculate total sum for each order*/ } } }{ $sort: { totalSum: -1 } /* Sort by totalSum in descending order*/ }{ $group: { _id: null, /* Group all documents into one group*/ mostExpensiveOrder: { $first: "$$ROOT" } /* Use $first to get the document with the highest totalSum*/ } }]).forEach(printjson);'
2025-01-10T00:02:19.532+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Script of allaebek has been evaluated
2025-01-10T00:02:19.535+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully generated output for allaebek
2025-01-10T00:02:19.538+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of alshadan
2025-01-10T00:02:19.571+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of alshadan
2025-01-10T00:02:19.576+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Script of alshadan has been evaluated
2025-01-10T00:02:19.581+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully generated output for alshadan
2025-01-10T00:02:19.582+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of ambrojak
2025-01-10T00:02:19.629+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of ambrojak
2025-01-10T00:02:19.634+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Script of ambrojak has been evaluated
2025-01-10T00:02:19.641+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully generated output for ambrojak
2025-01-10T00:02:19.643+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of banertam
2025-01-10T00:02:19.789+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of banertam
2025-01-10T00:02:19.794+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Script of banertam has been evaluated
2025-01-10T00:02:19.799+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully generated output for banertam
2025-01-10T00:02:19.801+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of bendasta
2025-01-10T00:02:19.810+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : JSON reader was expecting a value but found 'db'.
2025-01-10T00:02:19.811+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : JSON reader was expecting a value but found 'db'.
2025-01-10T00:02:19.811+01:00  WARN 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : JSON reader was expecting a value but found 'db'.
2025-01-10T00:02:19.834+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of bendasta
2025-01-10T00:02:19.838+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Script of bendasta has been evaluated
2025-01-10T00:02:19.847+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully generated output for bendasta
2025-01-10T00:02:19.848+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of dedtoma1
2025-01-10T00:02:19.860+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of dedtoma1
2025-01-10T00:02:19.862+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Script of dedtoma1 has been evaluated
2025-01-10T00:02:19.866+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully generated output for dedtoma1
2025-01-10T00:02:19.868+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of durisja4
2025-01-10T00:02:19.884+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of durisja4
2025-01-10T00:02:19.885+01:00 ERROR 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.t.checker.bson.QueryMatcher  : Unsupported selector: $expr
2025-01-10T00:02:19.885+01:00 ERROR 19888 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.t.checker.bson.QueryMatcher  : Unsupported selector: $expr
